Rank,City,Population
1,Newark,"311,549"
2,Jersey City,"292,449"
3,Paterson,"159,732"
4,Elizabeth,"137,298"
5,Lakewood,"135,158"
6,Edison,"107,588"
7,Woodbridge,"103,639"
8,Toms River,"95,438"
9,Hamilton township,"92,297"
10,Trenton,"90,871"
11,Clifton,"90,296"
12,Cherry Hill,"74,553"
13,Brick,"73,620"
14,Camden,"71,791"
15,Bayonne,"71,686"
16,Passaic,"70,537"
17,East Orange,"69,612"
18,Union City,"68,589"
19,Franklin township,"68,364"
20,Middletown,"67,106"
21,Old Bridge,"66,876"
22,Gloucester,"66,034"
23,North Bergen,"63,361"
24,Irvington,"61,176"
25,Piscataway,"60,804"
26,Vineland,"60,780"
27,Hoboken,"60,419"
28,Union township,"59,728"
29,Jackson,"58,544"
30,Parsippany-Troy Hills,"56,162"
31,Perth Amboy,"55,436"
32,New Brunswick,"55,266"
33,Wayne,"54,838"
34,Plainfield,"54,586"
35,Howell,"53,537"
36,Bloomfield,"53,105"
37,West New York,"52,912"
38,East Brunswick,"49,715"
39,West Orange,"48,843"
40,Washington township,"48,677"
41,Monroe township,"48,594"
42,Egg Harbor,"47,842"
43,South Brunswick,"47,043"
44,Evesham,"46,826"
45,Hackensack,"46,030"
46,Bridgewater,"45,977"
47,Sayreville,"45,345"
48,Manchester,"45,115"
49,Mount Laurel,"44,633"
50,North Brunswick,"43,905"
51,Berkeley,"43,754"
52,Linden,"43,738"
53,Hillsborough,"43,276"
54,Kearny,"41,999"
55,Marlboro,"41,502"
56,Teaneck,"41,246"
57,Montclair,"40,921"
58,Manalapan,"40,905"
59,Fort Lee,"40,191"
60,Winslow,"39,907"
61,Atlantic City,"38,497"
62,Belleville,"38,222"
63,Galloway,"37,813"
64,Ewing,"37,264"
65,Monroe,"37,117"
66,Pennsauken,"37,074"
67,Freehold,"35,369"
68,Fair Lawn,"34,927"
69,City of Orange,"34,447"
70,Lawrence township,"33,077"
71,Garfield,"32,655"
72,Deptford,"31,977"
