1,County,Township,Class,# of Licences,District  / Zone Specification,Additional Notes,Director of planning and community development,Email,Phone Number
22,,Aberdeen ,"1,2,3,4,&6",,,Cannabis retail shops will not be permitted to operate anywhere in the municipality,,,
91,,Absecon,,,,,,,
60,,Barrington,,,,,,,
37,,Bass River,All but retail,,,"Marketplace Classes, licensed C",,,
39,,Bordentown City,No Wholesale or distributers,"Cannabis cultivators, manufacturers and retailers two each. One cannabis delivery service",,,,,
101,,Bridgeton,,,,,,,
41,,Burlington City,All,"regulating the number of cannabis establishments (defined in N.J.S.A. 24:6I-33 as “a cannabis cultivator, a cannabis manufacturer, a cannabis wholesaler, or a cannabis retailer”), cannabis distributors or cannabis delivery services allowed to operate within the Township, as well as the location manner and times operation of such",,,,,
107,,Cape May County ,,,,,,,
43,,Cinnaminson,All,,,"All but Class 5 to operate at a permanent location 24 hours a day, although retail sales may only take place between 9 a.m. and 10 p.m.",,,
62,,Collingswood,,,,,,,
45,,Delran,,"There shall be a maximum of six (6) licensed cannabis businesses of any classification within the Township, and no more than four (4) of those may be retail cannabis facilities",,"Planned Commercial Development District PCD, shall be amended to
include the following new uses as conditional uses in the PCD district  Cannabis Retailer or Cannabis Delivery Service, subject to conditions. General Industrial and Commercial District M-2, shall be amended to include the following new uses as conditional uses in the M-2 district Cannabis Cultivator, Cannabis Manufacturer, Cannabis Wholesaler, or Cannabis Distributer, subject to conditions",,,
47,,Eastampton,All,,,,,,
24,,Eatontown ,All ,,"Industrial Way, west of Route 35. The maximum permitted number of each business type in Eatontown will be two",,,,
13,\,Edison,All,,Raritan Center and Heller Industrial Park,,,,
93,,Egg Harbor Township,,,,,,,
77,,Elk,,,,,,,
49,,Evesham,All,,"retailers, distributors, manufacturers and cultivators — would be limited by the law to the Evesham Crossroads Overlay Zone at the intersection of Routes 70 and 73 and to the Industrial Park District, which is north of Greentree Road.",retail businesses would be limited to five.  No consumption. ,,,
4,,Ewing,All,,"(a) Subarea 1 (SA-1); (b) Subarea 2 (SA-2); (c) Subarea 3 (SA-3) along Spruce Street frontage only; (d) Subarea 4 (SA-4) along street frontage only; (e) Subarea 5 (SA-5) along Olden Avenue frontage only; (f) Subarea 6 (SA-6) along Olden Avenue only; (g) Subarea 8 (SA-8) along Arctic Parkway only; (h) Town Center (TC); and (i) Professional Office (PRO) along River Road, Parkside Avenue, and Pennington Road only.",See ordinance,Chuck Latini - Zoning Officer/Planner,,
79,,Franklin,,,,,,,
26,,Freehold Borough,,,"Commercial manufacturing zones and modified commercial zones on lots fronting Throckmorton Street, and between the intersection of Throckmorton and Rhea streets west to the borough limits; in office commercial zones, limited professional office zones and general commercial zones on lots fronting Park Avenue (Route 33) and between the intersection of Park Avenue and South Street east to the borough limits; and commercial manufacturing zones and general commercial zones on lots fronting Jerseyville Avenue and between the intersection of Jerseyville Avenue and Parker Street east to the borough limits.","Cannabis cultivators, distributors, manufacturers and wholesalers will only be permitted to operate in the town’s commercial manufacturing district",,,
95,,Galloway,,,,,,,
64,,Gibbsboro,,,,,,,
81,,Greenwich,,,,,,,
6,,Hamilton, Class 1 for now,Two,"Industrial, manufacturing, or research and development zone",,,,
11,,Highland Park,5 & 6,,,"Class 5 Cannabis Retailers in the CBD Central Business District and the C Commercial District and Class 6 Cannabis Delivery Services throughout the town. The ordinance prohibits Cannabis cultivation, manufacturing, and wholesale businesses from operating in the Borough.",,,
8,,Lawrence,All,,"cannabis retailers and delivery services are restricted to storefront areas along Route 1 in the Highway Commercial zone, between Quakerbridge Road and Franklin Corner Road. This includes the Mercer Mall.",,,,
88,,Lower Alloways Creek,,,,,,,
51,,Lumberton,All,,"cultivation, manufacturing, wholesaling, distribution, retailing and delivery of cannabis will be permitted only in Lumberton's industrial zones",,,,
28,,Matawan,5 & 6,,Highway Improvement and Railroad Improvement Districts,,,,
103,,Millville,,,,,,,
53,,Mount Holly,All,,,,,,
30,,Neptune City,All (no consumption),,,,,,
15,,New Brunswick,"4,5&6",,"no cultivation, manufacturing and wholesale",,,,
17,,North Brunswick,All,Two per class,,,,,
66,,Oaklyn,,,,,,,
32,,Ocean Township ,Not yet,,,"“The Township of Ocean is not against having recreational cannabis businesses, which would like to establish them according to the laws, licensing, and zoning requirements set by the state.”",,,
68,,Pennsauken,,,,,,,
97,,Pleasantville,,,,,,,
34,,Red Bank ,All,,,Very regulated,,,
55,,River Edge,None,,,,,,
57,,Shamong,,,,,,,
70,,Somerdale,,,,,,,
19,,South River,1&2,Two per Class,,"The two businesses can hold up to four licenses each, pending state approvals",,,
105,,Vineland,,,,,,,
72,,Voorhees,,,,,,,
74,,Waterford,,,,,,,
109,,Woodbine,,,,,,,
83,,Woodbury,,,,,,,
85,,Woolwich,,,,,,,
2,Mercer County,,,,,,,,
3,,,,,,,,,
5,,,,,,,,,
7,,,,,,,,,
9,,,,,,,,,
10,Middlesex County,,,,"Cannabis cultivators, manufacturers, wholesalers and distributors are allowed to operate in the Mixed Use-2, Mixed Use-3 and Limited Industrial-1 zones. The MX-2 zone is on Bakers Basin Road and the MX-3 zone is on Princess Road. The LI-1 zone is on Quakerbridge Road",,,,
12,,,,,,,,,
14,,,,,,,,,
16,,,,,,,,,
18,,,,,,,,,
20,,,,,,,,,
21,Monmouth County,,,,,,,,
23,,,,,,,,,
25,,,,,,,,,
27,,,,,,,,,
29,,,,,,,,,
31,,,,,,,,,
33,,,,,,,,,
35,,,,,,,,,
36,Burlington County ,,,,,,,,
38,,,,,,,,,
40,,,,,,,,,
42,,,,,,,,,
44,,,,,,"Those holding Class 1 and 2 licenses may include an area used for selling items and supplies to consumers, but that area can't exceed 10 percent or 3,000 square feet of the total property, whichever is smaller.",,,
46,,,,,,,,,
48,,,,,,,,,
50,,,,,,,,,
52,,,,,,,,,
54,,,,,,,,,
56,,,,,,,,,
58,,,,,,,,,
59,Camden County,,,,,,,,
61,,,,,,,,,
63,,,,,,,,,
65,,,,,,,,,
67,,,,,,,,,
69,,,,,,,,,
71,,,,,,,,,
73,,,,,,,,,
75,,,,,,,,,
76,Gloucester County,,,,,,,,
78,,,,,,,,,
80,,,,,,,,,
82,,,,,,,,,
84,,,,,,,,,
86,,,,,,,,,
87,Salem County,,,,,,,,
89,,,,,,,,,
90,Atlantic County ,,,,,,,,
92,,,,,,,,,
94,,,,,,,,,
96,,,,,,,,,
98,,,,,,,,,
99,Cumberland County ,,,,,,,,
100,,,,,,,,,
102,,,,,,,,,
104,,,,,,,,,
106,,,,,,,,,
108,,,,,,,,,
